Source,DBA,SoundCategory
Aerobic exercise class,94,Recreation
Air conditioner,55,Household
Air conditioner,60,Household
Air conditioner,60,Household
Air conditioner ,80,Household
Air conditioner ,60-72,Household
"Air conditioner, window",61,Household
"Air conditioner, window",80,Household
"Air conditioner, window",60-73,Household
"Air conditioner, window ",60,Household
Air conditioning unit ,60,Household
Air heater,51,Household
Airbag discharge in automobile,169,Transportation
"Airport terminal, Minneapolis airport",70,Transportation
Armored personnel carrier,113,Transportation
Artificial motor- wind up,96,Toys
ATV,80-110,Recreation
"ATV passby, off road, 7 different models",75-89,Recreation
Audiometric test booth,35,Hearing testing
Automobile,60-90,Transportation
Automobile ,60-90,Transportation
Automobile at 50 mph,72,Transportation
Automobile -inside mid-size (60 mph),70,Transportation
Automobile passenger,60-90,Transportation
"Automobile, 1964 VW bus, 53 mph",82,Transportation
"Automobile, convertible, top and windows down, 60 mph",88,Transportation
"Automobile, Dodge Ram pickup, 1986, interior at 40 mph",71,Transportation
"Automobile, Dodge Ram Pickup, 1986, interior at 60 mph",74,Transportation
"Automobile, door slamming ",65,Transportation
"Automobile, engine idling ",36,Transportation
"Automobile, horn",120,Warning
"Automobile, inside",80,Transportation
"Automobile, inside at 30 mph, windows closed",68-73,Transportation
"Automobile, inside at 30 mph, windows open",72-76,Transportation
"Automobile, inside at 65 mph",77,Transportation
"Automobile, inside sports car 50 mph",75,Transportation
"Automobile, inside sports car 50 mph",75,Transportation
"Automobile, on higway",98,Transportation
"Automobile, passenger",69,Transportation
"Automobile, passenger",60-90,Transportation
"Automobile, passenger 50 mph ",65,Transportation
"Automobile, quiet",55,Transportation
"Automobile, warming up ",47,Transportation
Baby rattle,86,Toys
Baby rattle  ,73,Toys
Baby rattle (tamborine shape),89,Toys
Baby rattle (telephone shape),76,Toys
"Baby, crying",70,Personal
"Bar, neighborhood, Friday evening",79,Recreation
"Baseball game, cheering + thunder-sticks",107,Recreation
"Baseball game, cheering + thunder-sticks, last out",114,Recreation
"Baseball game, Cincinnati Reds vs. St. Louis, 2006",89,Recreation
"Baseball game, Indianapolis Indians vs. Norfolk Tides, 2012",86,Recreation
"Baseball game, sustained averages",94,Recreation
"Baseball game, World Series",97,Recreation
"Basement, quiet",20,Household
Bathing,72,Household
Bedroom,25,Household
Bedroom,40,Household
Bedroom - asphault noise problem,35,Household
Bedroom at night,30,Household
"Bell tower, Tomb of the Unknown Soldier, Arlington, VA",66,Public
"Bike, trail ",57,Transportation
"Bike, trail ",74,Transportation
"Bird, flying along lakeshore ",31,Nature
"Bird, singing",30,Nature
Birds,48,Nature
"Birds, chaffinch song notes ",34-41,Nature
"Birds, crows call notes ",45,Nature
"Birds, singing",60,Nature
"Birds, terns and gulls, call notes",50-62,Nature
"Birds, woodpeckers, call notes",54,Nature
"Birds, woodpeckers, call notes ",53,Nature
Blender,73,Household
Blender,80,Household
Blender,85,Household
Blender,88,Household
Blender,88,Household
Blender,91,Household
Blender,64-87,Household
Blender,65-85,Household
Boardgame,65,Household
Boring machine,94,Power Tools
Bowling,86,Recreation
"Brake, locomotive, crew (vented into cab)",85-115,Transportation
Breathing,10,Personal
"Breathing, normal",10,Personal
"Brook, babbling, from wooden bridge, Hoh Valley",42,Nature
"Buddy L F-14 Tomcat, by Empire Industries, Inc.",79,Recreation
"Bus, intercity",74-84,Transportation
"Bus, MTA, New York City",76,Transportation
"Bus, MTA, New York City",75,Transportation
"Bus, passing",70-90,Transportation
Campfire ,53,Nature
Campfire ,60,Nature
Camping chores ,55-68,Household
Can opener,64,Household
Can opener,69,Household
"Can opener, electric",81-83,Household
Canoe,45,Recreation
Cast removal with saw,92,Medical
Chainsaw,82,Power Tools
Chainsaw,83,Power Tools
Chainsaw,100,Power Tools
Chainsaw,100,Power Tools
Chainsaw,100,Power Tools
Chainsaw,109,Power Tools
Chainsaw,109,Power Tools
Chainsaw,110,Power Tools
Chainsaw,118,Power Tools
Chainsaw,120,Power Tools
Chainsaw,103-116,Power Tools
Chainsaw,105-115,Power Tools
"Chainsaw, cutting log 3/4 to full throttle",110,Power Tools
"Chainsaw, idle",92,Power Tools
"Chainsaw, running, 3/4 to full throttle",113,Power Tools
"Chevrolet Nova, 1986, interior, 55 mph on asphalt",72,Transportation
Children screaming while being treated in the operating room,95,Medical
Children's sporting event - Basketball,74,Recreation
Children's sporting event - Hockey,75,Recreation
Children's sporting event - Karate,83,Recreation
Children's sporting event - Soccer,74,Recreation
Children's sporting event - Swimming,88,Recreation
Children's sporting event - Volleyball,78,Recreation
Chipmunks,40-46,Nature
Chopping wood,66-71,Hand tools
Chopping wood ,50,Hand tools
Chopping wood ,64,Hand tools
Chores,75,Household
City street corner,70,Public
"Classroom, median background noise level, unoccupied",46,Schools
Clattering pans ,66,Household
Cleaning,70,Household
"Clipper, hair",60,Household
"Clipper, hair",72,Household
"Clipper, pet",62,Household
"Clock, alarm",80,Household
"Clock, alarm",80,Household
"Clock, alarm",60-80,Household
"Clock, alarm - ringing",80,Household
"Clock, electric",30,Household
Clothes washer,78,Household
Cocktail party (100 guests),100,Recreation
Community noise level,48-70,Public
Computer,37-45,Office
Computer game,69,Household
Computer terminal noise,44,Office
"Concert - avg. of 14 rock, pop, and rap concerts",106,Music/Recording
"Concert, Depeche Mode ",110,Music/Recording
"Concert, Fiona Apple",90-95,Music/Recording
"Concert, Judy Collins at Elliott Hall of Music, Purdue",80,Recreation
"Concert, Midnight Oil ",99,Music/Recording
"Concert, Moore, Gary",104,Music/Recording
"Concert, Oral lavage",72,Household
"Concert, Pink Floyd, Soldiers' Field, Chicago, 1994",103,Music/Recording
"Concert, rock",90-115,Music/Recording
"Concert, rock",98-101,Music/Recording
"Concert, Rock concert with amplifiers",120,Music/Recording
"Concert, rock concert, Alice Cooper",100,Music/Recording
"Concert, rock concert, Phil Collins",97,Music/Recording
"Concert, rock concert, Santana",105,Music/Recording
"Concert, rock concert, Tina Turner  ",99,Music/Recording
"Concert, rock group",110,Music/Recording
"Concert, Tori Amos",92-95,Music/Recording
"Concert, Tornado Babies and Kyyria ",102,Music/Recording
"Concert, Yngwie Malmsteen ",105,Music/Recording
Concerts at two Swedish concert halls,83-92,Music/Recording
Cooking,73,Household
"Creek, medium ",50,Nature
"Creek, small with rapids",61,Nature
"Creek, small with rapids ",47-48,Nature
Crickets,50,Nature
Cross-country skiing,45,Recreation
"Crowd, basketball",99-118,Public
"Crowd, hockey game",120,Public
Crystal singing bowl at maximum output,86,Music/Recording
Cutting wood,82,Household
"Dance, ASHA social",91-103,Recreation
Dehumidifier,52,Household
Dehumidifier,61,Household
Dental drilling,74,Medical
Dental irrigator,76,Household
Dental micromotor handpieces at idle,65-76,Medical
Dental micromotor handpieces drilling,76-82,Medical
